objectid,filename,format,parentid,registration_number,title,subject,object_sanskrit_definition,material,measurement,colour,cultural_influence,manufacture_place,locations,price,placement,usage_context,position,face_expression,body_part_position,false_gesture,description
dmc66,dmc66.jpeg,image/jpeg,,DMC 66,,,,,,,,,,,,,,,,,
dmc67,dmc67.jpeg,image/jpeg,,DMC 67,,,,,,,,,,,,,,,,,
dmc68,dmc68.jpeg,image/jpeg,,DMC 68,,,,,,,,,,,,,,,,,
dmc69,dmc69.jpeg,image/jpeg,,DMC 69,,,,,,,,,,,,,,,,,
dmc70,dmc70.jpeg,image/jpeg,,DMC 70,,,,,,,,,,,,,,,,,
dmc71,dmc71.jpeg,image/jpeg,,DMC 71,,,,,,,,,,,,,,,,,
dmc72,dmc72.jpeg,image/jpeg,,DMC 72,,,,,,,,,,,,,,,,,
dmc73,dmc73.jpeg,image/jpeg,,DMC 73,,,,,,,,,,,,,,,,,
dmc74,dmc74.jpeg,image/jpeg,,DMC 74,,,,,,,,,,,,,,,,,
dmc75,dmc75.jpeg,image/jpeg,,DMC 75,,,,,,,,,,,,,,,,,
dmc76,dmc76.jpeg,image/jpeg,,DMC 76,,,,,,,,,,,,,,,,,
dmc77,dmc77.jpeg,image/jpeg,,DMC 77,,,,,,,,,,,,,,,,,
dmc78,dmc78.jpeg,image/jpeg,,DMC 78,,,,,,,,,,,,,,,,,
dmc79,dmc79.jpeg,image/jpeg,,DMC 79,,,,,,,,,,,,,,,,,
dmc80,dmc80.jpeg,image/jpeg,,DMC 80,,,,,,,,,,,,,,,,,
dmc81,dmc81.jpeg,image/jpeg,,DMC 81,,,,,,,,,,,,,,,,,
dmc82,dmc82.jpeg,image/jpeg,,DMC 82,,,,,,,,,,,,,,,,,
dmc83,dmc83.jpeg,image/jpeg,,DMC 83,,,,,,,,,,,,,,,,,
dmc84,dmc84.jpeg,image/jpeg,,DMC 84,,,,,,,,,,,,,,,,,
dmc85,dmc85.jpeg,image/jpeg,,DMC 85,,,,,,,,,,,,,,,,,
dmc86,dmc86.jpeg,image/jpeg,,DMC 86,,,,,,,,,,,,,,,,,
dmc87,dmc87.jpeg,image/jpeg,,DMC 87,,,,,,,,,,,,,,,,,
dmc88,dmc88.jpeg,image/jpeg,dmc90,DMC 88,Solar Panel Buddha at Hair Dresser,"Solar Panel, Led, Hair Dresser",dhyana mudra,"Polyresin, Artificial Stone",Height Approximately 35 cm,Grey,Indian,China,Bochum – ibeauty Nail Shop,"27,00€",The Primary Display of Store,To decorate the shop’s display,Seated,Serene,"Seated with legs crossed, hands gently holding a led candle",,"Nail decoration shops are often associated with Asia. For this reason, a Buddha is used to make the nail decoration shop and the products interesting. "
